vote,image_id,time,username
1,gifbrles_c0005s0030t01,923,tester
1,gifbrles_c0009s0010t01,1458,sliew
1,gifbrles_c0007s0013t01,900,tester
1,gifbrles_031974,836,tester
0,gifbrles_c0005s0021t01,2487,sliew
1,gifbrles_031849,876,tester
1,gifbrles_031877,1460,tester
1,gifbrles_c0010s0032t01,1194,tester
1,gifbrles_c0011s0001t01,1425,tester
1,gifbrles_c0007s0020t01,1403,tester
0,gifbrles_c0010s0021t01,5963,sliew
1,gifbrles_c0007s0012t01,1187,tester
1,gifbrles_031933,1209,tester
1,gifbrles_031954,889,tester
1,gifbrles_031864,682,tester
1,gifbrles_031866,4339,sliew
1,gifbrles_c0007s0010t01,2262,tester
0,gifbrles_c0005s0024t01,2451,sliew
1,gifbrles_031964,1061,tester
1,gifbrles_031835,1049,tester
0,gifbrles_c0007s0009t01,2320,sliew
0,gifbrles_c0010s0031t01,3829,tester
0,gifbrles_c0007s0019t01,3701,sliew
0,gifbrles_031795,967,tester
0,gifbrles_031930,1827,tester
0,gifbrles_031982,915,tester
1,gifbrles_031925,2950,sliew
0,gifbrles_c0004s0009t01,905,tester
1,gifbrles_031983,1662,sliew
0,gifbrles_c0005s0009t01,1101,tester
0,gifbrles_c0011s0009t01,707,tester
0,gifbrles_031797,670,tester
0,gifbrles_c0010s0022t01,2088,sliew
0,gifbrles_031857,677,tester
0,gifbrles_031925,1483,tester
0,gifbrles_c0006s0018t01,1891,sliew
0,gifbrles_031955,766,tester
0,gifbrles_031772,688,tester
1,gifbrles_031823,1702,sliew
0,gifbrles_031912,756,tester
0,gifbrles_031948,808,tester
0,gifbrles_031836,1591,tester
0,gifbrles_c0007s0034t01,2978,sliew
0,gifbrles_031916,860,tester
0,gifbrles_c0007s0010t01,1968,sliew
0,gifbrles_c0007s0014t01,1521,tester
0,gifbrles_031808,770,tester
1,gifbrles_031930,1963,sliew
0,gifbrles_031923,1304,tester
0,gifbrles_031962,967,tester
1,gifbrles_031781,1321,sliew
1,gifbrles_031852,1568,sliew
0,gifbrles_c0006s0014t01,2136,tester
1,gifbrles_031984,941,sliew
0,gifbrles_c0004s0031t01,906,tester
1,gifbrles_031913,1059,sliew
0,gifbrles_031919,865,tester
1,gifbrles_031902,2588,surianisha
1,gifbrles_031805,1732,sliew
0,gifbrles_031807,1520,tester
0,gifbrles_c0010s0013t01,719,tester
1,gifbrles_031793,1026,sliew
0,gifbrles_c0007s0026t01,2341,surianisha
0,gifbrles_c0007s0007t01,1522,tester
0,gifbrles_c0006s0014t01,1809,sliew
0,gifbrles_031798,651,tester
1,gifbrles_031947,1377,surianisha
0,gifbrles_031839,1053,tester
1,gifbrles_031915,1619,sliew
0,gifbrles_c0010s0005t01,1321,surianisha
0,gifbrles_031821,875,tester
1,gifbrles_031927,1481,surianisha
0,gifbrles_c0005s0008t01,1674,sliew
0,gifbrles_c0010s0015t01,1519,tester
0,gifbrles_031879,826,tester
0,gifbrles_031880,1195,surianisha
0,gifbrles_031897,793,tester
1,gifbrles_031807,2380,sliew
0,gifbrles_031811,1862,tester
0,gifbrles_c0007s0010t01,865,tester
0,gifbrles_c0009s0003t01,2477,sliew
0,gifbrles_c0006s0019t01,704,tester
0,gifbrles_c0010s0024t01,625,tester
1,gifbrles_c0007s0017t01,610,tester
1,gifbrles_031857,1904,sliew
1,gifbrles_031980,672,tester
1,gifbrles_031985,1112,sliew
1,gifbrles_c0007s0034t01,870,tester
1,gifbrles_c0004s0030t01,536,tester
1,gifbrles_031856,1037,sliew
1,gifbrles_031983,586,tester
1,gifbrles_031945,515,tester
1,gifbrles_031986,1051,sliew
1,gifbrles_031870,510,tester
1,gifbrles_c0006s0018t01,481,tester
1,gifbrles_031961,430,tester
1,gifbrles_c0008s0019t01,10215,surianisha
1,gifbrles_031954,1611,sliew
1,gifbrles_031946,502,tester
1,gifbrles_031903,499,tester
1,gifbrles_031822,986,sliew
1,gifbrles_031834,522,tester
1,gifbrles_031921,432,tester
1,gifbrles_c0010s0007t01,916,tester
0,gifbrles_c0007s0030t01,1774,sliew
1,gifbrles_031979,550,tester
1,gifbrles_031828,491,tester
1,gifbrles_031805,490,tester
1,gifbrles_c0009s0008t01,1768,sliew
1,gifbrles_031914,486,tester
1,gifbrles_031940,503,tester
0,gifbrles_031779,485,tester
0,gifbrles_c0010s0021t01,476,tester
1,gifbrles_031816,1975,sliew
0,gifbrles_c0011s0004t01,457,tester
0,gifbrles_c0008s0010t01,471,tester
0,gifbrles_c0007s0005t01,435,tester
0,gifbrles_c0005s0024t01,448,tester
0,gifbrles_031881,461,tester
0,gifbrles_031819,8620,surianisha
0,gifbrles_c0010s0014t01,1971,sliew
0,gifbrles_031899,440,tester
0,gifbrles_c0010s0003t01,402,tester
1,gifbrles_031832,1011,sliew
0,gifbrles_031831,425,tester
1,gifbrles_031779,2108,sliew
0,gifbrles_c0009s0008t01,2006,tester
0,gifbrles_031927,711,tester
1,gifbrles_031908,1396,sliew
0,gifbrles_c0005s0017t01,1477,tester
0,gifbrles_031941,478,tester
1,gifbrles_031914,1529,sliew
1,gifbrles_031923,998,sliew
0,gifbrles_031780,1284,tester
1,gifbrles_c0005s0009t01,7544,surianisha
1,gifbrles_031952,1312,sliew
1,gifbrles_031956,1393,sliew
1,gifbrles_031781,4962,surianisha
1,gifbrles_031885,4303,surianisha
1,gifbrles_c0010s0021t01,3413,surianisha
0,gifbrles_031840,3667,surianisha
1,gifbrles_031877,3020,surianisha
0,gifbrles_031902,1476,surianisha
1,gifbrles_c0004s0030t01,20042,sliew
1,gifbrles_031979,1682,sliew
1,gifbrles_031794,3530,surianisha
0,gifbrles_c0007s0028t01,1845,sliew
1,gifbrles_031879,1540,sliew
1,gifbrles_c0007s0009t01,3417,surianisha
1,gifbrles_031949,1409,sliew
1,gifbrles_031893,2067,sliew
0,gifbrles_031896,3761,surianisha
0,gifbrles_c0007s0016t01,1676,sliew
0,gifbrles_c0008s0002t01,2458,sliew
1,gifbrles_c0006s0019t01,5251,surianisha
1,gifbrles_031875,1928,sliew
1,gifbrles_031961,1376,sliew
0,gifbrles_031881,1828,sliew
1,gifbrles_c0004s0031t01,1445,sliew
1,gifbrles_031772,1197,sliew
0,gifbrles_c0008s0011t01,8993,surianisha
0,gifbrles_c0010s0007t01,4535,sliew
1,gifbrles_031800,2141,sliew
1,gifbrles_031804,4792,surianisha
1,gifbrles_031783,1111,sliew
1,gifbrles_031815,1663,sliew
1,gifbrles_031947,1422,sliew
1,gifbrles_031803,1376,sliew
0,gifbrles_031809,8235,surianisha
0,gifbrles_c0010s0029t01,6870,sliew
1,gifbrles_031946,1321,sliew
0,gifbrles_c0006s0019t01,5901,sliew
1,gifbrles_c0005s0036t01,10959,surianisha
1,gifbrles_031821,1646,sliew
0,gifbrles_031869,2112,surianisha
1,gifbrles_031790,2143,sliew
0,gifbrles_c0006s0020t01,2136,sliew
1,gifbrles_031908,3735,surianisha
0,gifbrles_c0004s0031t01,3392,surianisha
1,gifbrles_c0008s0024t01,2373,surianisha
0,gifbrles_031794,1855,surianisha
0,gifbrles_031955,8474,sliew
1,gifbrles_031797,2035,sliew
1,gifbrles_031798,1450,sliew
1,gifbrles_031903,3845,surianisha
1,gifbrles_c0010s0031t01,1564,sliew
0,gifbrles_c0004s0029t01,2255,surianisha
1,gifbrles_c0009s0009t01,1487,sliew
1,gifbrles_c0006s0014t01,1633,surianisha
0,gifbrles_031952,4998,surianisha
0,gifbrles_c0004s0009t01,6061,sliew
1,gifbrles_031916,1758,sliew
1,gifbrles_031855,3189,surianisha
0,gifbrles_c0009s0005t01,2051,sliew
0,gifbrles_031780,2147,surianisha
1,gifbrles_c0007s0032t01,3807,surianisha
0,gifbrles_c0007s0017t01,4067,surianisha
1,gifbrles_031908,2901,surianisha
0,gifbrles_c0010s0007t01,2587,surianisha
1,gifbrles_031937,2313,surianisha
0,gifbrles_c0004s0030t01,6964,surianisha
1,gifbrles_c0005s0011t01,2281,sliew
0,gifbrles_c0006s0004t01,2379,sliew
1,gifbrles_031949,2679,surianisha
1,gifbrles_031814,1845,sliew
0,gifbrles_c0005s0048t01,2281,surianisha
1,gifbrles_c0011s0004t01,978,sliew
1,gifbrles_031838,1362,surianisha
1,gifbrles_031863,1591,sliew
1,gifbrles_031832,1001,sliew
1,gifbrles_031965,1783,sliew
0,gifbrles_c0005s0048t01,1996,sliew
0,gifbrles_c0005s0010t01,1625,sliew
1,gifbrles_031929,8195,surianisha
1,gifbrles_031786,2332,sliew
0,gifbrles_031783,2151,surianisha
1,gifbrles_031987,1578,sliew
1,gifbrles_031802,1127,sliew
1,gifbrles_031822,2062,surianisha
0,gifbrles_031879,2214,surianisha
0,gifbrles_031843,3040,sliew
1,gifbrles_031803,2140,surianisha
0,gifbrles_c0006s0004t01,2812,surianisha
1,gifbrles_c0007s0024t01,4387,surianisha
0,gifbrles_c0007s0024t01,9311,sliew
1,gifbrles_031777,2255,sliew
0,gifbrles_031936,3372,surianisha
1,gifbrles_031942,1405,sliew
1,gifbrles_031816,2649,surianisha
0,gifbrles_c0006s0003t01,2201,sliew
0,gifbrles_031940,1764,surianisha
1,gifbrles_031924,1820,sliew
0,gifbrles_c0011s0006t01,1794,sliew
1,gifbrles_031835,3257,surianisha
1,gifbrles_031835,1671,sliew
0,gifbrles_c0009s0008t01,1512,surianisha
1,gifbrles_031870,1776,sliew
1,gifbrles_031974,1505,surianisha
1,gifbrles_031782,1365,sliew
0,gifbrles_031900,1147,surianisha
1,gifbrles_031943,1337,sliew
0,gifbrles_c0005s0003t01,1691,sliew
1,gifbrles_c0010s0024t01,3136,surianisha
1,gifbrles_031825,1419,sliew
0,gifbrles_c0007s0007t01,1953,surianisha
1,gifbrles_031789,1374,sliew
1,gifbrles_c0010s0015t01,3100,surianisha
1,gifbrles_031847,2971,sliew
1,gifbrles_031906,1191,sliew
1,gifbrles_031968,1622,sliew
0,gifbrles_031859,4478,surianisha
1,gifbrles_031778,2956,sliew
1,gifbrles_031914,3375,surianisha
1,gifbrles_c0005s0013t01,2090,sliew
0,gifbrles_031921,1271,surianisha
0,gifbrles_c0007s0015t01,1754,sliew
1,gifbrles_031824,1174,surianisha
1,gifbrles_031824,937,sliew
0,gifbrles_c0009s0010t01,1583,surianisha
1,gifbrles_031958,2241,sliew
1,gifbrles_031812,1284,sliew
1,gifbrles_031886,1319,sliew
1,gifbrles_c0004s0031t01,3785,surianisha
1,gifbrles_031962,2051,sliew
1,gifbrles_c0009s0008t01,1000,sliew
0,gifbrles_c0010s0037t01,3492,surianisha
1,gifbrles_031933,1827,sliew
1,gifbrles_031827,2009,surianisha
1,gifbrles_c0011s0003t01,1242,sliew
1,gifbrles_031944,1007,sliew
0,gifbrles_c0005s0011t01,2644,surianisha
0,gifbrles_031844,2397,sliew
1,gifbrles_031769,2296,surianisha
0,gifbrles_c0007s0012t01,1944,sliew
1,gifbrles_031861,1935,sliew
0,gifbrles_031811,3442,surianisha
1,gifbrles_031922,1261,sliew
1,gifbrles_031891,1022,sliew
1,gifbrles_031779,3036,surianisha
1,gifbrles_031895,2118,sliew
0,gifbrles_c0009s0003t01,2116,surianisha
1,gifbrles_031798,1533,surianisha
0,gifbrles_c0009s0006t01,3130,sliew
0,gifbrles_c0007s0029t01,3440,surianisha
1,gifbrles_031946,1370,surianisha
0,gifbrles_031800,2250,surianisha
1,gifbrles_031976,8399,sliew
1,gifbrles_c0010s0024t01,1962,sliew
1,gifbrles_031882,2112,sliew
1,gifbrles_031921,1490,sliew
1,gifbrles_031981,1295,sliew
1,gifbrles_031833,1021,sliew
1,gifbrles_031800,800,sliew
0,gifbrles_031960,1943,sliew
1,gifbrles_031845,12482,surianisha
0,gifbrles_c0007s0010t01,1261,sliew
0,gifbrles_031790,1753,surianisha
1,gifbrles_031910,1414,sliew
1,gifbrles_031826,893,sliew
1,gifbrles_031833,2378,surianisha
1,gifbrles_c0007s0030t01,13617,bad_rater
0,gifbrles_031885,1625,surianisha
1,gifbrles_c0006s0005t01,2469,sliew
1,gifbrles_c0008s0009t01,1865,sliew
0,gifbrles_c0005s0008t01,2171,sliew
1,gifbrles_031828,5186,surianisha
0,gifbrles_031893,18485,surianisha
1,gifbrles_031814,2935,surianisha
0,gifbrles_031815,3413,surianisha
1,gifbrles_031898,4873,surianisha
0,gifbrles_031805,2704,surianisha
1,gifbrles_c0007s0030t01,1704,surianisha
0,gifbrles_c0011s0005t01,4806,surianisha
1,gifbrles_031807,4823,surianisha
0,gifbrles_c0009s0008t01,1286,surianisha
1,gifbrles_031821,2700,surianisha
0,gifbrles_031811,1452,surianisha
1,gifbrles_031813,3602,surianisha
0,gifbrles_031938,1445,surianisha
1,gifbrles_031829,3108,surianisha
0,gifbrles_031870,1872,surianisha
1,gifbrles_031875,1715,surianisha
1,gifbrles_031784,62135,sliew
1,gifbrles_031976,779,sliew
0,gifbrles_c0005s0036t01,1173,surianisha
1,gifbrles_031851,1413,sliew
0,gifbrles_c0007s0035t01,1609,sliew
1,gifbrles_031940,3243,surianisha
1,gifbrles_c0011s0011t01,1265,sliew
0,gifbrles_031965,1730,surianisha
0,gifbrles_c0007s0031t01,1705,sliew
1,gifbrles_031849,1496,surianisha
0,gifbrles_031881,2251,surianisha
1,gifbrles_031950,3095,sliew
1,gifbrles_031963,1522,sliew
1,gifbrles_c0011s0012t01,1198,sliew
1,gifbrles_c0005s0026t01,4625,surianisha
1,gifbrles_031838,2437,sliew
0,gifbrles_c0005s0042t01,1833,sliew
1,gifbrles_031772,1286,sliew
1,gifbrles_031848,1146,sliew
1,gifbrles_031909,1428,sliew
1,gifbrles_031917,1285,sliew
1,gifbrles_031841,1153,sliew
0,gifbrles_c0007s0004t01,1520,sliew
1,gifbrles_031967,1391,sliew
0,gifbrles_031979,12129,surianisha
1,gifbrles_031872,1940,sliew
1,gifbrles_031964,1223,sliew
1,gifbrles_031977,3229,surianisha
1,gifbrles_031774,1843,sliew
0,gifbrles_031816,2864,surianisha
0,gifbrles_c0010s0011t01,4600,sliew
1,gifbrles_031941,4098,surianisha
1,gifbrles_031966,1973,sliew
1,gifbrles_031770,1004,sliew
0,gifbrles_031863,2267,surianisha
1,gifbrles_031771,995,sliew
1,gifbrles_031892,1256,sliew
1,gifbrles_031859,2150,surianisha
1,gifbrles_c0005s0007t01,2013,sliew
0,gifbrles_031954,1840,surianisha
1,gifbrles_031801,1740,sliew
1,gifbrles_031936,1707,surianisha
0,gifbrles_c0006s0019t01,1779,surianisha
1,gifbrles_031904,1396,surianisha
0,gifbrles_c0005s0035t01,1672,surianisha
1,gifbrles_031820,1411,surianisha
0,gifbrles_031960,1659,surianisha
1,gifbrles_031982,2522,bad_rater
1,gifbrles_c0006s0004t01,1633,surianisha
1,gifbrles_c0010s0009t01,7341,bad_rater
1,gifbrles_031936,1349,bad_rater
0,gifbrles_031981,9295,surianisha
1,gifbrles_c0009s0006t01,2172,bad_rater
1,gifbrles_031902,953,bad_rater
1,gifbrles_c0011s0004t01,2574,surianisha
1,gifbrles_031840,951,bad_rater
0,gifbrles_031944,1392,surianisha
1,gifbrles_031908,783,bad_rater
1,gifbrles_031793,1009,bad_rater
1,gifbrles_031837,1368,surianisha
1,gifbrles_031933,932,bad_rater
0,gifbrles_c0006s0003t01,1490,surianisha
1,gifbrles_031848,1912,surianisha
0,gifbrles_c0010s0031t01,2189,surianisha
1,gifbrles_c0007s0007t01,5680,bad_rater
1,gifbrles_c0008s0019t01,1573,surianisha
1,gifbrles_c0010s0015t01,8937,bad_rater
0,gifbrles_c0009s0009t01,8252,surianisha
1,gifbrles_031823,3000,surianisha
0,gifbrles_031858,3735,surianisha
0,gifbrles_031806,7505,bad_rater
1,gifbrles_c0011s0006t01,2374,surianisha
0,gifbrles_031923,3428,bad_rater
0,gifbrles_031824,1860,surianisha
1,gifbrles_031786,3054,surianisha
1,gifbrles_031889,1952,sliew
0,gifbrles_031900,5600,bad_rater
1,gifbrles_031868,1132,sliew
0,gifbrles_031836,3399,surianisha
1,gifbrles_031769,1407,sliew
1,gifbrles_031945,2278,surianisha
0,gifbrles_031801,3186,bad_rater
0,gifbrles_031967,1675,surianisha
1,gifbrles_c0005s0014t01,4494,sliew
1,gifbrles_031900,2028,surianisha
1,gifbrles_031800,1166,sliew
0,gifbrles_c0005s0010t01,1544,surianisha
1,gifbrles_031978,1390,sliew
1,gifbrles_031920,1052,sliew
0,gifbrles_031901,6468,bad_rater
1,gifbrles_c0011s0009t01,1495,surianisha
0,gifbrles_c0007s0030t01,1707,surianisha
0,gifbrles_c0005s0029t01,2377,sliew
1,gifbrles_031953,2534,bad_rater
1,gifbrles_c0008s0009t01,1517,surianisha
1,gifbrles_c0009s0007t01,1439,bad_rater
1,gifbrles_031796,2563,sliew
1,gifbrles_031882,2370,bad_rater
1,gifbrles_031901,1764,sliew
1,gifbrles_c0009s0006t01,2413,bad_rater
1,gifbrles_031866,1491,bad_rater
1,gifbrles_c0008s0026t01,4735,sliew
1,gifbrles_031932,4233,bad_rater
0,gifbrles_c0011s0014t01,3180,sliew
1,gifbrles_031853,1213,bad_rater
1,gifbrles_031975,1781,sliew
1,gifbrles_c0004s0031t01,2075,bad_rater
1,gifbrles_031905,1417,sliew
1,gifbrles_c0005s0009t01,1054,bad_rater
1,gifbrles_031959,1899,sliew
1,gifbrles_031915,3153,bad_rater
1,gifbrles_031918,1396,bad_rater
1,gifbrles_031984,1076,bad_rater
1,gifbrles_031969,5123,sliew
1,gifbrles_031847,1062,sliew
1,gifbrles_031973,1329,sliew
0,gifbrles_c0005s0028t01,1995,sliew
0,gifbrles_031825,4898,bad_rater
1,gifbrles_c0009s0007t01,1960,sliew
1,gifbrles_031907,3035,bad_rater
0,gifbrles_c0007s0013t01,1579,sliew
1,gifbrles_031951,2761,sliew
0,gifbrles_031943,32845,surianisha
1,gifbrles_031912,2958,sliew
1,gifbrles_c0007s0012t01,19927,bad_rater
0,gifbrles_031848,3475,bad_rater
1,gifbrles_c0011s0003t01,19723,surianisha
0,gifbrles_031799,1179,surianisha
1,gifbrles_031831,1547,bad_rater
1,gifbrles_031939,815,bad_rater
1,gifbrles_c0007s0012t01,1879,bad_rater
1,gifbrles_031943,1665,bad_rater
1,gifbrles_031981,1357,bad_rater
1,gifbrles_031833,1020,bad_rater
1,gifbrles_031869,1115,bad_rater
1,gifbrles_031906,672,bad_rater
1,gifbrles_c0009s0002t01,1075,bad_rater
1,gifbrles_031867,2075,bad_rater
1,gifbrles_c0007s0030t01,5421,bad_rater
1,gifbrles_031822,2101,bad_rater
1,gifbrles_031889,778,bad_rater
1,gifbrles_c0009s0008t01,599,bad_rater
1,gifbrles_031835,704,bad_rater
1,gifbrles_c0009s0008t01,715,bad_rater
1,gifbrles_031853,575,bad_rater
1,gifbrles_031975,503,bad_rater
1,gifbrles_c0005s0003t01,553,bad_rater
1,gifbrles_031807,1581,bad_rater
1,gifbrles_031888,593,bad_rater
1,gifbrles_031944,567,bad_rater
1,gifbrles_031878,639,bad_rater
1,gifbrles_031899,1654,bad_rater
1,gifbrles_c0008s0027t01,441,bad_rater
1,gifbrles_031902,1066,bad_rater
1,gifbrles_031963,1228,bad_rater
1,gifbrles_c0008s0024t01,1732,bad_rater
1,gifbrles_c0009s0011t01,816,bad_rater
1,gifbrles_031971,723,bad_rater
1,gifbrles_c0007s0033t01,961,bad_rater
1,gifbrles_031785,1374,bad_rater
1,gifbrles_031799,760,bad_rater
1,gifbrles_031807,744,bad_rater
1,gifbrles_c0005s0028t01,870,bad_rater
1,gifbrles_031905,745,bad_rater
1,gifbrles_031831,679,bad_rater
1,gifbrles_031836,690,bad_rater
1,gifbrles_031885,858,bad_rater
1,gifbrles_031794,5014,bad_rater
1,gifbrles_c0006s0004t01,852,bad_rater
1,gifbrles_c0006s0004t01,1728,bad_rater
1,gifbrles_c0011s0003t01,1545,bad_rater
1,gifbrles_031885,941,bad_rater
1,gifbrles_031970,760,bad_rater
1,gifbrles_031791,791,bad_rater
1,gifbrles_c0010s0011t01,1273,bad_rater
1,gifbrles_031902,7173,bad_rater
1,gifbrles_031935,869,bad_rater
1,gifbrles_031885,835,bad_rater
1,gifbrles_031969,1202,bad_rater
1,gifbrles_031898,841,bad_rater
1,gifbrles_c0010s0025t01,1041,bad_rater
1,gifbrles_031959,954,bad_rater
1,gifbrles_031852,982,bad_rater
1,gifbrles_031838,968,bad_rater
1,gifbrles_031849,2602,tester
1,gifbrles_031984,1403,tester
0,gifbrles_c0008s0027t01,3353,tester
1,gifbrles_031890,2969,tester
1,gifbrles_031846,5096,tester
1,gifbrles_c0008s0014t01,1142,tester
1,gifbrles_031973,1271,tester
1,gifbrles_031972,3124,tester
1,gifbrles_c0009s0012t01,2451,tester
1,gifbrles_031900,1078,tester
1,gifbrles_031810,922,tester
1,gifbrles_031936,1194,tester
1,gifbrles_c0005s0009t01,4605,tester
0,gifbrles_c0007s0035t01,15138,tester
1,gifbrles_031780,1397,tester
0,gifbrles_c0010s0016t01,8279,akeshavan
1,gifbrles_031820,45659,akeshavan
1,gifbrles_031934,3319,akeshavan
0,gifbrles_c0008s0002t01,20785,akeshavan
1,gifbrles_031898,949898,akeshavan
1,gifbrles_031879,5310,arokem
1,gifbrles_c0011s0006t01,7843,arokem
0,gifbrles_sub-r003s006_type1,3999,sliew
0,gifbrles_sub-r031s001_type1,2137,sliew
0,gifbrles_sub-r017s104_type1,2387,sliew
0,gifbrles_sub-r004s010_type1,2004,sliew
0,gifbrles_c0007s0013t01,4064,sliew
1,gifbrles_031861,2226,sliew
1,gifbrles_sub-r035s008_type1,5235,sliew
1,gifbrles_031828,1599,sliew
1,gifbrles_031841,8237,ENIGMA
1,gifbrles_031933,12653,ENIGMA
0,gifbrles_c0005s0010t01,7606,ENIGMA
1,gifbrles_c0005s0036t01,3958,ENIGMA
1,gifbrles_031939,3935,ENIGMA
1,gifbrles_031857,4885,ENIGMA
1,gifbrles_c0005s0003t01,4632,ENIGMA
1,gifbrles_031926,15631,ENIGMA
