,n_votes,who,unique_who,mean,std
sub-NDARAH948UF0_T1w__ax_55,9,"{'dnkennedy', 'akeshavan', 'gkiar', 'cjmarkie', 'arokem'}",5,1.0,0.0
sub-NDARAH948UF0_T1w__ax_75,6,"{'akeshavan', 'cjmarkie', 'pdonnelly'}",3,0.8333333333333334,0.408248290463863
sub-NDARAH948UF0_T1w__ax_95,5,"{'Dnkennedy', 'dnkennedy', 'pbellec', 'cjmarkie', 'arokem'}",5,1.0,0.0
sub-NDARAJ366ZFA_T1w__ax_110,7,"{'Dnkennedy', 'dnkennedy', 'binarybottle', 'anisha', 'arokem'}",5,1.0,0.0
sub-NDARAJ366ZFA_T1w__ax_130,5,"{'Dylan', 'dnkennedy', 'akeshavan', 'ehuber', 'cjmarkie'}",5,0.6,0.5477225575051662
sub-NDARAJ366ZFA_T1w__ax_150,3,"{'Dylan', 'Dnkennedy', 'gkiar'}",3,0.6666666666666666,0.5773502691896258
sub-NDARAJ366ZFA_T1w__ax_70,6,"{'Dylan', 'cjmarkie', 'dnkennedy', 'akeshavan'}",4,1.0,0.0
sub-NDARAJ366ZFA_T1w__ax_90,4,"{'Dnkennedy', 'satra', 'dnkennedy', 'akeshavan'}",4,1.0,0.0
sub-NDARAK187ZLP_T1w__ax_112,6,"{'Dylan', 'Dnkennedy', 'dnkennedy', '62442katieb', 'akeshavan', 'satra'}",6,0.0,0.0
sub-NDARAK187ZLP_T1w__ax_132,8,"{'Dylan', 'akeshavan', 'ekubota', 'cjmarkie', 'arokem'}",5,0.625,0.5175491695067657
sub-NDARAK187ZLP_T1w__ax_152,4,"{'akeshavan', 'cjmarkie', 'arokem'}",3,0.25,0.5
sub-NDARAK187ZLP_T1w__ax_172,4,"{'Dnkennedy', 'satra'}",2,0.0,0.0
sub-NDARAK187ZLP_T1w__ax_92,6,"{'Dylan', 'Dnkennedy', 'dnkennedy', '62442katieb', 'gkiar'}",5,0.0,0.0
sub-NDARAM277WZT_T1w__ax_113,6,"{'Dnkennedy', 'gkiar', 'cjmarkie', 'ekubota'}",4,0.5,0.5477225575051661
sub-NDARAM277WZT_T1w__ax_133,6,"{'Dnkennedy', 'satra', 'akeshavan'}",3,0.6666666666666666,0.5163977794943223
sub-NDARAM277WZT_T1w__ax_53,5,"{'Dylan', 'ekubota'}",2,0.8,0.4472135954999579
sub-NDARAM277WZT_T1w__ax_73,4,"{'Dnkennedy', 'satra', 'dnkennedy'}",3,1.0,0.0
sub-NDARAM277WZT_T1w__ax_93,7,"{'Dylan', 'Dnkennedy', 'Kesh', 'cjmarkie', 'arokem'}",5,0.8571428571428571,0.3779644730092272
sub-NDARAM675UR8_T1w__ax_104,4,"{'anisha', 'Dylan', 'cjmarkie'}",3,0.0,0.0
sub-NDARAM675UR8_T1w__ax_124,5,"{'Dylan', 'cjmarkie', 'akeshavan', 'arokem'}",4,0.2,0.44721359549995804
sub-NDARAM675UR8_T1w__ax_144,3,"{'Dylan', 'sliew', 'binarybottle'}",3,0.0,0.0
sub-NDARAM675UR8_T1w__ax_164,5,"{'Dnkennedy', 'akeshavan', 'Kesh', 'arokem'}",4,0.4,0.5477225575051662
sub-NDARAM675UR8_T1w__ax_184,6,"{'Dylan', 'agt', 'dnkennedy', 'gkiar', 'pbellec', 'cjmarkie'}",6,0.16666666666666666,0.408248290463863
sub-NDARAN814UPR_T1w__ax_101,6,"{'Dylan', 'Dnkennedy', '62442katieb', 'another_anisha', 'anisha'}",5,0.3333333333333333,0.5163977794943223
sub-NDARAN814UPR_T1w__ax_121,8,"{'Dylan', 'Dnkennedy', 'dnkennedy', '62442katieb', 'pbellec', 'binarybottle', 'cjmarkie'}",7,0.5,0.5345224838248488
sub-NDARAN814UPR_T1w__ax_141,7,"{'Dylan', 'akeshavan', 'arokem'}",3,0.42857142857142855,0.5345224838248487
sub-NDARAN814UPR_T1w__ax_161,4,"{'akeshavan', 'arokem', 'andronovhopf'}",3,0.5,0.5773502691896257
sub-NDARAN814UPR_T1w__ax_81,8,"{'cjmarkie', 'dnkennedy', 'another_anisha', 'pbellec'}",4,0.375,0.5175491695067657
sub-NDARAP176AD1_T1w__ax_108,5,"{'Dylan', 'Dnkennedy', 'cjmarkie'}",3,1.0,0.0
sub-NDARAP176AD1_T1w__ax_128,3,"{'Dylan', 'akeshavan'}",2,0.6666666666666666,0.5773502691896258
sub-NDARAP176AD1_T1w__ax_48,6,"{'Dylan', 'cjmarkie', 'akeshavan', 'andronovhopf'}",4,0.5,0.5477225575051661
sub-NDARAP176AD1_T1w__ax_68,5,"{'Dnkennedy', 'pdonnelly', 'andronovhopf'}",3,0.8,0.4472135954999579
sub-NDARAP176AD1_T1w__ax_88,9,"{'Dylan', 'dnkennedy', 'gkiar', 'another_anisha', 'cjmarkie', 'arokem'}",6,0.8888888888888888,0.33333333333333337
sub-NDARAP782TVC_T1w__ax_113,4,"{'Dnkennedy', 'binarybottle', 'cjmarkie', 'ekubota'}",4,0.25,0.5
sub-NDARAP782TVC_T1w__ax_133,7,"{'Dylan', 'Dnkennedy', 'cjmarkie', 'arokem'}",4,0.14285714285714285,0.37796447300922725
sub-NDARAP782TVC_T1w__ax_153,7,"{'Dylan', 'dnkennedy', 'Kesh', 'gkiar', 'sliew', 'arokem'}",6,0.14285714285714285,0.37796447300922725
sub-NDARAP782TVC_T1w__ax_73,5,"{'Dnkennedy', 'Dylan', 'gkiar', 'cjmarkie', 'arokem'}",5,0.0,0.0
sub-NDARAP782TVC_T1w__ax_93,3,"{'anisha', 'Dylan', 'cjmarkie'}",3,0.0,0.0
sub-NDARAR025WX4_T1w__ax_109,6,"{'Dnkennedy', 'Dylan', 'akeshavan', 'sliew', 'cjmarkie'}",5,1.0,0.0
sub-NDARAR025WX4_T1w__ax_129,4,"{'Dnkennedy', 'Dylan', 'Kesh', 'pbellec'}",4,0.75,0.5
sub-NDARAR025WX4_T1w__ax_49,7,"{'Dylan', 'dnkennedy', 'gkiar', 'satra', 'cjmarkie'}",5,0.8571428571428571,0.3779644730092272
sub-NDARAR025WX4_T1w__ax_69,4,"{'Dnkennedy', 'cjmarkie', 'akeshavan'}",3,1.0,0.0
sub-NDARAR025WX4_T1w__ax_89,5,"{'Dylan', 'cjmarkie', 'arokem', '62442katieb'}",4,0.6,0.5477225575051662
sub-NDARAT100AEQ_T1w__ax_104,9,"{'Dnkennedy', 'Dylan', 'dnkennedy', 'gkiar', 'cjmarkie', 'arokem'}",6,0.7777777777777778,0.44095855184409843
sub-NDARAT100AEQ_T1w__ax_124,5,"{'akeshavan', 'Dnkennedy', 'gkiar'}",3,1.0,0.0
sub-NDARAT100AEQ_T1w__ax_144,7,"{'Dnkennedy', 'Dylan', 'akeshavan', 'satra', 'anisha', 'cjmarkie'}",6,1.0,0.0
sub-NDARAT100AEQ_T1w__ax_64,3,"{'Dylan', 'akeshavan', 'pbellec'}",3,1.0,0.0
sub-NDARAT100AEQ_T1w__ax_84,8,"{'Dnkennedy', 'Kesh', 'gkiar', 'ekubota', 'andronovhopf'}",5,0.75,0.4629100498862757
sub-NDARAT299YRR_T1w__ax_108,5,"{'Dylan', 'cjmarkie', 'Kesh', 'arokem'}",4,0.8,0.44721359549995804
sub-NDARAT299YRR_T1w__ax_128,3,"{'akeshavan', 'binarybottle', 'ekubota'}",3,1.0,0.0
sub-NDARAT299YRR_T1w__ax_148,6,"{'Dylan', 'binarybottle', 'akeshavan'}",3,0.5,0.5477225575051661
sub-NDARAT299YRR_T1w__ax_68,4,"{'anisha', 'Dnkennedy', 'Dylan', 'cjmarkie'}",4,0.75,0.5
sub-NDARAT299YRR_T1w__ax_88,6,"{'Dylan', 'Dnkennedy', 'akeshavan', 'satra', 'arokem'}",5,0.6666666666666666,0.5163977794943223
sub-NDARAT581NDH_T1w__ax_102,8,"{'Dnkennedy', 'Kesh', 'sliew', 'cjmarkie', 'arokem'}",5,0.375,0.5175491695067657
sub-NDARAT581NDH_T1w__ax_122,3,"{'akeshavan', 'sliew'}",2,1.0,0.0
sub-NDARAT581NDH_T1w__ax_42,5,"{'akeshavan', 'Dnkennedy', 'dnkennedy'}",3,1.0,0.0
sub-NDARAT581NDH_T1w__ax_62,5,"{'akeshavan', 'gkiar', 'cjmarkie', 'arokem'}",4,1.0,0.0
sub-NDARAT581NDH_T1w__ax_82,7,"{'Dnkennedy', 'dnkennedy', '62442katieb', 'cjmarkie', 'arokem'}",5,0.7142857142857143,0.48795003647426655
sub-NDARAV610EY3_T1w__ax_114,5,"{'akeshavan', 'arokem', 'cjmarkie', 'ekubota'}",4,1.0,0.0
sub-NDARAV610EY3_T1w__ax_134,6,"{'ekubota', 'cjmarkie', 'arokem', 'pbellec'}",4,0.8333333333333334,0.408248290463863
sub-NDARAV610EY3_T1w__ax_54,3,"{'anisha', 'gkiar'}",2,1.0,0.0
sub-NDARAV610EY3_T1w__ax_74,5,"{'Dylan', 'Dnkennedy', 'akeshavan', 'pbellec', 'cjmarkie'}",5,1.0,0.0
sub-NDARAV610EY3_T1w__ax_94,7,"{'Dylan', 'jyeatman ', 'akeshavan', 'another_anisha', 'cjmarkie', 'arokem'}",6,0.5714285714285714,0.5345224838248488
sub-NDARAV747WVL_T1w__ax_118,4,"{'Dnkennedy', 'binarybottle', 'gkiar', 'akeshavan'}",4,1.0,0.0
sub-NDARAV747WVL_T1w__ax_138,5,"{'akeshavan', 'gkiar', 'dnkennedy', 'cjmarkie'}",4,0.6,0.5477225575051662
sub-NDARAV747WVL_T1w__ax_58,6,"{'Dnkennedy', 'binarybottle', 'bv42', 'cjmarkie', 'arokem'}",5,0.5,0.5477225575051661
sub-NDARAV747WVL_T1w__ax_78,5,"{'Dnkennedy', 'Kesh', 'pdonnelly', 'ekubota', 'cjmarkie'}",5,1.0,0.0
sub-NDARAV747WVL_T1w__ax_98,4,"{'akeshavan', 'dnkennedy', 'cjmarkie', 'andronovhopf'}",4,1.0,0.0
sub-NDARAV894XWD_T1w__ax_110,6,"{'akeshavan', 'cjmarkie'}",2,0.6666666666666666,0.5163977794943223
sub-NDARAV894XWD_T1w__ax_130,4,"{'Dylan', 'bv42', 'dnkennedy', 'pdonnelly'}",4,1.0,0.0
sub-NDARAV894XWD_T1w__ax_150,13,"{'ekubota', 'cjmarkie', 'Kesh', 'arokem'}",4,0.9230769230769231,0.2773500981126146
sub-NDARAV894XWD_T1w__ax_70,3,"{'Dylan', 'Dnkennedy'}",2,1.0,0.0
sub-NDARAV894XWD_T1w__ax_90,4,"{'Dylan', 'binarybottle', 'dnkennedy'}",3,1.0,0.0
sub-NDARAV945MCQ_T1w__ax_113,7,"{'Dnkennedy', 'Dylan', 'akeshavan', 'arokem'}",4,1.0,0.0
sub-NDARAV945MCQ_T1w__ax_133,5,"{'Dylan', 'sliew', 'cjmarkie', 'ehuber'}",4,1.0,0.0
sub-NDARAV945MCQ_T1w__ax_53,5,"{'Dnkennedy', 'binarybottle', 'cjmarkie', 'arokem'}",4,1.0,0.0
sub-NDARAV945MCQ_T1w__ax_73,5,"{'cjmarkie', 'Kesh', 'ekubota'}",3,1.0,0.0
sub-NDARAV945MCQ_T1w__ax_93,5,"{'Dylan', 'dnkennedy', 'akeshavan', 'spa', 'cjmarkie'}",5,1.0,0.0
sub-NDARAW179AYF_T1w__ax_114,7,"{'Dnkennedy', 'dnkennedy', 'gkiar', 'cjmarkie', 'arokem'}",5,1.0,0.0
sub-NDARAW179AYF_T1w__ax_134,5,"{'anisha', 'Dylan', 'akeshavan', 'pdonnelly'}",4,1.0,0.0
sub-NDARAW179AYF_T1w__ax_54,5,"{'Dnkennedy', 'dnkennedy', 'arokem'}",3,1.0,0.0
sub-NDARAW179AYF_T1w__ax_74,6,"{'Dnkennedy', 'akeshavan', 'cjmarkie'}",3,1.0,0.0
sub-NDARAW179AYF_T1w__ax_94,6,"{'Dnkennedy', 'Dylan', 'Kesh', 'gkiar', 'another_anisha', 'cjmarkie'}",6,1.0,0.0
sub-NDARAY238DFL_T1w__ax_104,3,"{'Dnkennedy', 'satra', 'ekubota'}",3,1.0,0.0
sub-NDARAY238DFL_T1w__ax_124,4,"{'Dylan', 'Dnkennedy', 'akeshavan'}",3,1.0,0.0
sub-NDARAY238DFL_T1w__ax_144,5,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'gkiar', 'arokem'}",5,0.6,0.5477225575051662
sub-NDARAY238DFL_T1w__ax_64,3,"{'Dnkennedy', 'Dylan', 'arokem'}",3,1.0,0.0
sub-NDARAY238DFL_T1w__ax_84,11,"{'Dnkennedy', 'ekubota', 'bv42', 'cjmarkie', 'arokem'}",5,0.8181818181818182,0.40451991747794525
sub-NDARBA507GCT_T1w__ax_101,7,"{'Dnkennedy', 'gkiar', 'Kesh', 'ekubota'}",4,1.0,0.0
sub-NDARBA507GCT_T1w__ax_121,2,"{'akeshavan', 'cjmarkie'}",2,1.0,0.0
sub-NDARBA507GCT_T1w__ax_141,5,"{'Dylan', 'cjmarkie', 'pdonnelly'}",3,0.6,0.5477225575051662
sub-NDARBA507GCT_T1w__ax_61,5,"{'akeshavan', 'cjmarkie', 'ekubota', 'jyeatman '}",4,1.0,0.0
sub-NDARBA507GCT_T1w__ax_81,4,"{'Dylan', 'Dnkennedy', 'satra', 'arokem'}",4,1.0,0.0
sub-NDARBA521RA8_T1w__ax_106,8,"{'Dnkennedy', 'Kesh', 'another_anisha', 'arokem'}",4,0.875,0.3535533905932738
sub-NDARBA521RA8_T1w__ax_126,6,"{'Dnkennedy', 'Dylan', 'gkiar', 'anisha', 'cjmarkie'}",5,0.8333333333333334,0.408248290463863
sub-NDARBA521RA8_T1w__ax_146,3,"{'Dnkennedy', 'dnkennedy', 'akeshavan'}",3,0.6666666666666666,0.5773502691896258
sub-NDARBA521RA8_T1w__ax_66,6,"{'akeshavan', 'cjmarkie'}",2,1.0,0.0
sub-NDARBA521RA8_T1w__ax_86,5,"{'anisha', 'Dylan', 'cjmarkie', 'arokem'}",4,1.0,0.0
sub-NDARBA680RFY_T1w__ax_111,6,"{'anisha', 'Dnkennedy', 'cjmarkie', 'Kesh'}",4,0.6666666666666666,0.5163977794943223
sub-NDARBA680RFY_T1w__ax_131,3,"{'gkiar', 'dnkennedy', 'Kesh'}",3,0.3333333333333333,0.5773502691896258
sub-NDARBA680RFY_T1w__ax_51,6,"{'Dylan', 'cjmarkie', 'Kesh', 'akeshavan'}",4,0.5,0.5477225575051661
sub-NDARBA680RFY_T1w__ax_71,6,"{'akeshavan', 'gkiar', 'arokem'}",3,0.3333333333333333,0.5163977794943223
sub-NDARBA680RFY_T1w__ax_91,7,"{'Dylan', 'sliew', 'satra', 'cjmarkie', 'arokem'}",5,0.0,0.0
sub-NDARBB854DRN_T1w__ax_101,3,"{'Dylan', 'sliew', 'cjmarkie'}",3,1.0,0.0
sub-NDARBB854DRN_T1w__ax_121,6,"{'Dylan', 'satra', 'Dnkennedy', 'cjmarkie'}",4,0.8333333333333334,0.408248290463863
sub-NDARBB854DRN_T1w__ax_141,5,"{'Dylan', 'akeshavan', 'Kesh'}",3,1.0,0.0
sub-NDARBB854DRN_T1w__ax_61,5,"{'Dylan', 'Dnkennedy', 'gkiar'}",3,0.6,0.5477225575051662
sub-NDARBB854DRN_T1w__ax_81,9,"{'anisha', 'Kesh', 'cjmarkie', 'akeshavan'}",4,0.8888888888888888,0.33333333333333337
sub-NDARBC580HR5_T1w__ax_116,6,"{'Dnkennedy', 'akeshavan', 'andronovhopf', 'cjmarkie', 'arokem'}",5,0.8333333333333334,0.408248290463863
sub-NDARBC580HR5_T1w__ax_136,4,"{'anisha', 'gkiar', 'dnkennedy', 'akeshavan'}",4,1.0,0.0
sub-NDARBC580HR5_T1w__ax_56,7,"{'Dylan', 'Kesh', 'binarybottle', 'pdonnelly', 'ekubota', 'bv42'}",6,0.8571428571428571,0.37796447300922725
sub-NDARBC580HR5_T1w__ax_76,6,"{'akeshavan', 'gkiar', 'pdonnelly', 'arokem'}",4,0.8333333333333334,0.408248290463863
sub-NDARBC580HR5_T1w__ax_96,4,"{'anisha', 'cjmarkie', 'arokem', 'jyeatman '}",4,1.0,0.0
sub-NDARBC734UVY_T1w__ax_114,6,"{'Dylan', 'Dnkennedy', 'pdonnelly', 'arokem'}",4,0.8333333333333334,0.408248290463863
sub-NDARBC734UVY_T1w__ax_134,8,"{'Dylan', 'dnkennedy', 'Kesh', 'gkiar', 'satra', 'arokem'}",6,0.875,0.3535533905932738
sub-NDARBC734UVY_T1w__ax_154,3,"{'Dylan', 'akeshavan', 'ekubota'}",3,0.6666666666666666,0.5773502691896258
sub-NDARBC734UVY_T1w__ax_74,4,"{'anisha', 'akeshavan', 'Kesh', 'ekubota'}",4,0.25,0.5
sub-NDARBC734UVY_T1w__ax_94,5,"{'Dylan', 'Dnkennedy', 'arokem', 'anisha'}",4,0.4,0.5477225575051662
sub-NDARBE123PWH_T1w__ax_104,7,"{'akeshavan', 'Dnkennedy', 'Dylan', 'another_anisha'}",4,0.5714285714285714,0.5345224838248488
sub-NDARBE123PWH_T1w__ax_124,8,"{'Dylan', 'Dnkennedy', 'Kesh', 'akeshavan', 'cjmarkie'}",5,0.5,0.5345224838248488
sub-NDARBE123PWH_T1w__ax_144,3,"{'Dnkennedy', 'binarybottle', 'ekubota'}",3,0.3333333333333333,0.5773502691896258
sub-NDARBE123PWH_T1w__ax_64,5,"{'akeshavan', 'gkiar', 'another_anisha', 'andronovhopf'}",4,0.2,0.447213595499958
sub-NDARBE123PWH_T1w__ax_84,5,"{'Dylan', 'cjmarkie', 'pdonnelly', 'jyeatman '}",4,0.4,0.5477225575051662
sub-NDARBE641DGZ_T1w__ax_117,8,"{'Dylan', 'Dnkennedy', 'gkiar', 'satra', 'fpereira', 'anisha'}",6,1.0,0.0
sub-NDARBE641DGZ_T1w__ax_137,4,"{'andronovhopf', 'sliew', 'Kesh', 'ekubota'}",4,0.5,0.5773502691896257
sub-NDARBE641DGZ_T1w__ax_57,6,"{'Dnkennedy', 'gkiar', 'Dylan'}",3,0.8333333333333334,0.408248290463863
sub-NDARBE641DGZ_T1w__ax_77,6,"{'satra', 'gkiar', 'cjmarkie', 'arokem'}",4,0.3333333333333333,0.5163977794943223
sub-NDARBE641DGZ_T1w__ax_97,7,"{'Dylan', 'Kesh', 'akeshavan', 'cjmarkie', 'arokem'}",5,0.5714285714285714,0.5345224838248488
sub-NDARBF176LPM_T1w__ax_115,5,"{'Dylan', 'satra', 'cjmarkie'}",3,0.0,0.0
sub-NDARBF176LPM_T1w__ax_135,6,"{'Dylan', 'Kesh', 'akeshavan', 'satra', 'arokem'}",5,0.16666666666666666,0.408248290463863
sub-NDARBF176LPM_T1w__ax_155,6,"{'Dnkennedy', 'gkiar', 'Dylan', 'Kesh'}",4,0.5,0.5477225575051661
sub-NDARBF176LPM_T1w__ax_75,4,"{'akeshavan', 'cjmarkie'}",2,0.25,0.5
sub-NDARBF176LPM_T1w__ax_95,6,"{'Dnkennedy', 'Dylan', 'gkiar', 'satra', 'bv42', 'arokem'}",6,0.16666666666666666,0.408248290463863
sub-NDARBF805EHN_T1w__ax_119,6,"{'Kesh', 'dnkennedy', 'cjmarkie', 'arokem'}",4,0.6666666666666666,0.5163977794943223
sub-NDARBF805EHN_T1w__ax_139,4,"{'Dylan', 'binarybottle', 'akeshavan'}",3,0.5,0.5773502691896257
sub-NDARBF805EHN_T1w__ax_159,8,"{'Dylan', 'bv42', 'pdonnelly'}",3,0.875,0.3535533905932738
sub-NDARBF805EHN_T1w__ax_79,5,"{'Dylan', 'binarybottle', 'satra', 'anisha', 'cjmarkie'}",5,0.8,0.4472135954999579
sub-NDARBF805EHN_T1w__ax_99,4,"{'Dylan', 'gkiar', 'ehuber', 'arokem'}",4,0.5,0.5773502691896257
sub-NDARBG574KF4_T1w__ax_103,7,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'another_anisha', 'cjmarkie'}",5,0.2857142857142857,0.4879500364742666
sub-NDARBG574KF4_T1w__ax_123,6,"{'Dnkennedy', 'dnkennedy', 'Kesh', 'satra', 'arokem'}",5,1.0,0.0
sub-NDARBG574KF4_T1w__ax_143,8,"{'Dylan', 'dnkennedy', 'Kesh', 'gkiar', 'arokem'}",5,0.875,0.3535533905932738
sub-NDARBG574KF4_T1w__ax_63,6,"{'anisha', 'gkiar', 'cjmarkie', 'Dylan'}",4,0.16666666666666666,0.408248290463863
sub-NDARBG574KF4_T1w__ax_83,4,"{'akeshavan', 'arokem', 'cjmarkie', 'ekubota'}",4,0.25,0.5
sub-NDARBG702FED_T1w__ax_102,5,"{'Dnkennedy', 'gkiar', 'another_anisha', 'pdonnelly', 'arokem'}",5,0.8,0.4472135954999579
sub-NDARBG702FED_T1w__ax_122,10,"{'ekubota', 'Kesh', 'andronovhopf', 'arokem'}",4,0.3,0.48304589153964794
sub-NDARBG702FED_T1w__ax_142,7,"{'dnkennedy', 'Kesh', 'ekubota', 'Danjonpeterson ', 'arokem'}",5,1.0,0.0
sub-NDARBG702FED_T1w__ax_62,3,"{'Dnkennedy', 'dnkennedy', 'ekubota'}",3,1.0,0.0
